codice_sku,quantita,immagine_sku,ordine_tipo_componente,tipo_componente,nome_modello,modelli_correlati,descrizione_breve,tensione_alimentazione,corrente_assorbita,tipo_motore,potenza_massima,coppia_massima,materiale,trattamento_superficiale,forza_spinta,rapporto_riduzione,numero_max_schede_collegabili,velocita_angolare,velocita_anta,lunghezza_anta_max,lunghezza_asta_max,spazio_fermata,controllo_motore,tipo_finecorsa,pignone,regolazione_forza,peso_anta_max,angolo_apertura_max,temperatura_esercizio,termoprotezione,grado_protezione_ip,peso_unita,frequenza_utilizzo,larghezza_anta_max,dimensioni,scheda_elettronica,arresti_meccanici,tempo_utilizzo_continuo,tempo_apertura,encoder,tipo_rallentamento,tipo_asta,dimensione_pilastro,dispositivo_sblocco,condensatore_spunto,lunghezza_mm,unita_misura_prezzo,icona_badge,decodifica_radio,memoria_codici_radio,collegamento,note_tecniche,corsa_stelo,dimensioni_colonna,peso_anta_cantilever,portata_pompa,staffe_fissaggio,tipo_olio,tipo_utilizzo,velocita_stelo
105781,,,,accessorio,,,FORNITURA IN KIT XS30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105782,,,,accessorio,,,FORNITURA IN KIT XS55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105940,,PRATICO_C_kit_105940.tif,,Modello,PRATICO C kit 230V SAFE,,PRATICO C kit 230V SAFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105998,,105998components.tif,,Modello,HANDY kit 24V SAFE,,HANDY kit 24V SAFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1059995,,1059995components.tif,,Modello,RAPID kit 24V SAFE&GREEN,,RAPID kit 24V SAFE&GREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106746445,,106746445components.tif,,Modello,POWER kit 230V,,POWER kit 230V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106747445,,106747445components.tif,,Modello,POWER kit 24V SAFE,,POWER kit 24V SAFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10675201,1,106752.tif,,accessorio,770N 230V,,Attuatori interrati 770N 230V,220-240V~ 50/60 Hz,,Asincrono monofase,380 W,330 Nm|dati riferiti a 230V~ 50Hz.,,,,,,6 °/s|dati riferiti a 230V~ 50Hz.,,,,,,,,,500 Kg (vedi grafico),110° (140° e 180° con kit opzionale),-20°C ÷ + 55°C,140°C,IP67,12 Kg (con cassetta portante 14 Kg),S3 30%,"2 m (3,5 m con elettroserratura)","362 x 153 x 127 (cassetta portante 430 x 307,5 x 214) mm",Non compresa,,,,,,,,Doppia leva (Brevettato),"12,5μF 400V",,,,,,,,,,,,,,,
10675301,1,106752.tif,,accessorio,770N 24V,,Attuatori interrati 770N 24V,220-240V~ 50/60 Hz,,Con spazzole 24V,70 W,330 Nm,,,,,,6 °/s,,,,,,,,,500 Kg (vedi grafico),110° (140° e 180° con kit opzionale),-20°C ÷ + 55°C,,IP67,12 Kg (con cassetta portante 14 Kg),Uso continuo,"2 m (3,5 m con elettroserratura)","362 x 153 x 127 (cassetta portante 430 x 307,5 x 214) mm",Non compresa,,,,,,,,Doppia leva (Brevettato),,,,,,,,,,,,,,,,
108720,1,108720.tif,,accessorio,S800H ENC CBAC 100°,,S800H ENC CBAC 100°,220-240V~ 50/60 Hz,,Con spazzole 24V,60 W,,,,,,,"5,5°/s (con E024S) - 8,2°/s (con E124)",,,,,,,,,800 Kg,100°,-20°C ÷ +55°C,,IP67,14 Kg,Uso continuo,2 m,Attuatore 380 x 220 x 160 - cassetta portante 507 x 283 x 200 mm,Non compresa,Positive stop integrati,,,Magnetico assoluto BUS 2easy integrato,,,,,,,,,,,BUS 2easy,,,,,,,FAAC HP OIL,,
108722,1,,,accessorio,S800H ENC CBAC 180°,,,220-240V~ 50/60 Hz,,Con spazzole 24V,60 W,,,,,,,"5,5°/s (con E024S) - 8,2°/s (con E124)",,,,,,,,,800 Kg,180°,-20°C ÷ +55°C,,IP67,15 Kg,Uso continuo,2 m,Attuatore 450 x 220 x 160 - cassetta portante 507 x 283 x 200 mm,Non compresa,Positive stop integrati,,,Magnetico assoluto BUS 2easy integrato,,,,,,,,,,,BUS 2easy,,,,,,,FAAC HP OIL,,
108724,1,,,accessorio,S800H ENC SBW 100°,,,220-240V~ 50/60 Hz,,Con spazzole 24V,60 W,,,,,,,"5,5°/s (con E024S) - 8,2°/s (con E124)",,,,,,,,,800 Kg,100°,-20°C ÷ +55°C,,IP67,14 Kg,Uso continuo,4 m,Attuatore 380 x 220 x 160 - cassetta portante 507 x 283 x 200 mm,Non compresa,Positive stop integrati,,,Magnetico assoluto BUS 2easy integrato,,,,,,,,,,,BUS 2easy,,,,,,,FAAC HP OIL,,
108725,1,,,accessorio,S800H ENC SBW 180°,,,220-240V~ 50/60 Hz,,Con spazzole 24V,60 W,,,,,,,"5,5°/s (con E024S) - 8,2°/s (con E124)",,,,,,,,,800 Kg,180°,-20°C ÷ +55°C,,IP67,15 Kg,Uso continuo,4 m,Attuatore 450 x 220 x 160 - cassetta portante 507 x 283 x 200 mm,Non compresa,Positive stop integrati,,,Magnetico assoluto BUS 2easy integrato,,,,,,,,,,,BUS 2easy,,,,,,,FAAC HP OIL,,
108800,1,108800.tif,,accessorio,S800 ENC CBAC 100°,,S800 ENC CBAC 100° 230V,220-240V~ 50/60 Hz,,Asincrono monofase,220 W,,,,,,,"7,8°/s",,,,,,,,,800 Kg,100°,-20°C ÷ +55°C,,IP67,16 Kg,45 cicli/ora,2 m,Attuatore 380 x 220 x 160 - cassetta portante 507 x 283 x 200 mm,Non compresa,Integrati,,,Magnetico assoluto BUS 2easy integrato,,,,,,,,,,,BUS 2easy,,,,,,,FAAC HP OIL,,
108801,1,,,accessorio,S800 ENC CBAC 180°,,,220-240V~ 50/60 Hz,,Asincrono monofase,220 W,,,,,,,"7,8°/s",,,,,,,,,800 Kg,180°,-20°C ÷ +55°C,,IP67,"16,5 Kg",30 cicli/ora,2 m,Attuatore 450 x 220 x 160 - cassetta portante 507 x 283 x 200 mm,Non compresa,Integrati,,,Magnetico assoluto BUS 2easy integrato,,,,,,,,,,,BUS 2easy,,,,,,,FAAC HP OIL,,
108802,1,,,accessorio,S800 ENC SBW 100°,,,220-240V~ 50/60 Hz,,Asincrono monofase,220 W,,,,,,,"7,8°/s",,,,,,,,,800 Kg,100°,-20°C ÷ +55°C,,IP67,16 Kg,45 cicli/ora,4 m,Attuatore 380 x 220 x 160 - cassetta portante 507 x 283 x 200 mm,Non compresa,Integrati,,,Magnetico assoluto BUS 2easy integrato,,,,,,,,,,,BUS 2easy,,,,,,,FAAC HP OIL,,
108803,1,,,accessorio,S800 ENC SBW 180°,,,220-240V~ 50/60 Hz,,Asincrono monofase,220 W,,,,,,,"7,8°/s",,,,,,,,,800 Kg,180°,-20°C ÷ +55°C,,IP67,"16,5 Kg",30 cicli/ora,4 m,Attuatore 450 x 220 x 160 - cassetta portante 507 x 283 x 200 mm,Non compresa,Integrati,,,Magnetico assoluto BUS 2easy integrato,,,,,,,,,,,BUS 2easy,,,,,,,FAAC HP OIL,,
109001,,,,accessorio,C4000I,,C4000I Motoriduttore con scheda incorporata,220-240V ~ 50/60 Hz,,24 V,150 W,,,,125 N,,,,16 m/min,,,,,,Z16 modulo 4,,400 kg,,-20 °C +55 °C,,IP30,"3,5 kg",,8 m,110 x 180 x 250 mm,E4000I incorporata,,Continuo,,,,,,,,,,,,,,,,110x110 mm dimensione minima interna,250 kg,,,,Residenziale,
109320,,109320.tif,,accessorio,C720 24V,,Motoriduttore elettromeccanico C720 con apparecchiatura elettronica incorporata e piastra di fondazione,220-240V~ 50/60 Hz,,Motore a spazzole 24V,170 W,18 Nm,,,320 N,1:49,,,18 m/min (regolabile),,,,Sì - Regolazione elettronica,Magnetico,Z28 modulo 4,Tramite scheda elettronica,400 Kg,,-20°C ÷ +55°C,,IP44,8 Kg,100 %,15 m,304 x 180 x 282 mm,E721 incorporata,,,,Encoder elettronico,,,,,,,,,,,,,,,,,,,,
109321,,,,accessorio,C721 24V,,Motoriduttore C721 con apparecchiatura elettronica incorporata e piastra di fondazione,220-240V~ 50/60 Hz,,Motore a spazzole 24V,290 W,30 Nm,,,530 N,1:49,,,18 m/min (regolabile),,,,Sì - Regolazione elettronica,Magnetico,Z28 modulo 4,Tramite scheda elettronica,800 Kg,,-20°C ÷ +55°C,,IP44,8 Kg,100 %,15 m,304 x 180 x 282 mm,E721 incorporata,,,,Encoder elettronico,,,,,,,,,,,,,,,,,,,,
109512,,,,Modello,540 V BPR,,,220-240V~ 50/60 Hz,,Asincrono monofase,800 W,50 Nm|dati riferiti a 230V~ 50Hz.,,,,,,23 giri/min|dati riferiti a 230V~ 50Hz.,,,,,,,,,,,-20 °C ÷ +55 °C,,IP54,14 Kg,S3 - 40%,,92 x 376 x 266 mm,540BPR incorporata,,,,No,,,,,,,,,,,,,,,,,,FAAC HP OIL,,
109542,,,,Modello,541 V,,,220-240V~ 50/60 Hz,,Asincrono monofase,800 W,50 Nm|dati riferiti a 230V~ 50Hz.,,,,,,23 giri/min|dati riferiti a 230V~ 50Hz.,,,,,,,,,,,-20 °C ÷ +55 °C,,IP54,14 Kg,S3 - 40%,,92 x 376 x 266 mm,Non compresa,,,,Integrato,,,,,,,,,,,,,,,,,,FAAC HP OIL,,
109550,,,,Modello,541 V 3PH,,,380-415V~ 3PH+N 50/60 Hz,,Asincrono trifase,720 W,70 Nm|dati riferiti a 400V~ 50Hz.,,,,,,23 giri/min|dati riferiti a 400V~ 50Hz.,,,,,,,,,,,-20 °C ÷ +55 °C,,IP54,14 Kg,S3 - 60%,,92 x 376 x 266 mm,Non compresa,,,,No,,,,,,,,,,,,,,,,,,FAAC HP OIL,,
109600,,109600.tif,,accessorio,740 C con encoder,,"Motoriduttore 740 C con apparecchiatura elettronica ed encoder incorporati, piastra di fondazione",220-240V~ 50/60 Hz,,Asincrono monofase,430 W,18 Nm|dati riferiti a 230V~ 50Hz.,,,450 N|dati riferiti a 230V~ 50Hz.,1:25,,,12 m/min,,,,Sì,Magnetico,Z16 modulo 4,Tramite scheda elettronica,500 Kg,,-20°C ÷ +55°C (**),140°C autoripristinante,IP44,"11,9 Kg",55 cicli/h,15 m,295 x 180 x 320 mm,incorporata,,,,Encoder magnetico,,,,Manopola di sblocco rotativa - chiave cifrata,10 μF,,,,,,,,,,,,,,,
109602,,109702.tif,,accessorio,741 C con encoder,,Motoriduttore 741 C Z16 con apparecchiatura elettronica ed encoder incorporati e piastra di fondazione,220-240V~ 50/60 Hz,,Asincrono monofase,530 W,20 Nm|dati riferiti a 230V~ 50Hz.,,,630 N|dati riferiti a 230V~ 50Hz.,1:25,,,12 m/min,,,,Sì,Magnetico,Z16 modulo 4,Tramite scheda elettronica,900 Kg,,-20°C ÷ +55°C (**),140°C autoripristinante,IP44,"13,1 Kg",56 cicli/h,15 m,295 x 180 x 320 mm,incorporata,,,,Encoder magnetico,,,,Manopola di sblocco rotativa - chiave cifrata,12.5 μF,,,,,,,,,,,,,,,
109745,,109837.tif,,accessorio,746 C Z16,,Motoriduttore 746 C Z16 con apparecchiatura elettronica ed encoder incorporati,220-240V~ 50/60 Hz,,,150 W,,,,830 N,,,,9.6 m/min,40 m,,30 mm,,,Z16 modulo 4,,600 Kg,,-20° ÷ +55°C *,120°C autoripristinanti,IP44,16.2 Kg,Uso continuo*,40 m,,E781 incorporata,,,,,,,,,12.5 µF,,,,,,,,,,,,,,,
109746,,,,accessorio,746 C Z20,,,220-240V~ 50/60 Hz,,,150 W,,,,665 N,,,,12 m/min,50 m,,30 mm,,,Z20 modulo 4,,400 Kg,,-20° ÷ +55°C *,120°C autoripristinanti,IP44,16.5 Kg,Uso continuo*,50 m,,E781 incorporata,,,,,,,,,12.5 µF,,,,,,,,,,,,,,,
1097805,,109780.tif,,accessorio,740 E Z16 con encoder,,"Motoriduttore 740 E Z16 con apparecchiatura elettronica ed encoder incorporati, piastra di fondazione",220-240V~ 50/60 Hz,,Asincrono monofase,350 W,18 Nm|dati riferiti a 230V~ 50Hz.,,,450 N|dati riferiti a 230V~ 50Hz.,1:25,,,12 m/min,,,,No,Magnetico,Z16 modulo 4,Tramite scheda elettronica,500 Kg,,-20°C ÷ +55°C,140°C,IP44,10 Kg,S3 - 30%,15 m,295 x 181 x 320 mm,740D incorporata,,,,Encoder ottico,,,,Manopola di sblocco rotativa - chiave cifrata,10 μF,,,,,,,,,,,,,,,
1097815,,109781.tif,,accessorio,741 E Z16 con encoder,,"Motoriduttore 741 E Z16 con apparecchiatura elettronica ed encoder incorporati, piastra di fondazione",220-240V~ 50/60 Hz,,Asincrono monofase,500 W,24 Nm|dati riferiti a 230V~ 50Hz.,,,650 N|dati riferiti a 230V~ 50Hz.,1:25,,,12 m/min,,,,No,Magnetico,Z16 modulo 4,Tramite scheda elettronica,900 Kg,,-20°C ÷ +55°C,140°C,IP44,11 Kg,S3 - 40%,15 m,295 x 181 x 320 mm,740D incorporata,,,,Encoder ottico,,,,Manopola di sblocco rotativa - chiave cifrata,"12,5 μF",,,,,,,,,,,,,,,
109885,,,,accessorio,884 MC 3PH,,Motoriduttore 884 MC 3PH,220-240V / 380-415V~ 3PH 50/60 Hz,,Asincrono trifase,850 W,0 ÷ 155 Nm|dati riferiti a 230/400V ~ 50Hz.,,,3.200 N|dati riferiti a 230/400V ~ 50Hz.,"1:43,2",,,,,,,No,Microinterrutore a levetta e rullino,No,Frizione bidisco in bagno d'olio,3.500 Kg,,-20°C ÷ +65°C,155°C,IP55,50 Kg,100% (fino a 2.000 Kg) - 50% (oltre 2.000 Kg),42 m,430 x 310 x 586 mm,E844 3PH incorporata,,,,No,,,,,,,,,,,,,,,,,,FAAC HP OIL,,
109903,,,,accessorio,C851,,Motoriduttore C851,220-240V~ 50/60 Hz,,1.1 KW trifase a quattro poli,1.800 W,168 Nm|dati riferiti a 230V~ 50Hz.,,,3.000 N|dati riferiti a 230V~ 50Hz.,,,,20 ÷ 40 m/min (regolabile),,,,Su scheda elettronica,meccanici integrati + magnetico,Z28 modulo 4,,1.800 Kg,,-20°C ÷ +55°C,75°C,IP54,40 Kg,100% (T=25 °C),20 m,510 x 295 x 467 mm,E850S incorporata,,,,,,,,,,,,,,,,,,,,,,,,
109904,,,,accessorio,844 R 3PH,,844 R 3PH,380-415V~ 3 50/60 Hz,,Asincrono trifase,950 W,62 Nm|dati riferiti a 400V ~ 50Hz.,,,2500 N (Z12) - 1900 N (Z16) - 1500 N (Z20)|dati riferiti a 400V ~ 50Hz.,1:30,,,"9,5 m/min (Z16) - 7,2 m/min (Z12) - 12,0 m/min (Z20)",,,,No,Induttivo con lamierino,No,,2.200 Kg (Z12) - 1.600 Kg (Z16) - 1.000 Kg (Z20),,-20°C ÷ +55°C,155°C,IP44,15 Kg,70%,30 m (Z12) - 40 m (Z16) - 50 m (Z20),277 x 155 x 388 mm,Incorporata,,,,No,,,,,,,,,,,,,,,,,,FAAC HP OIL,,
109925,,,,accessorio,844 C Z16,,Motoriduttore 844 C R Z16,220-240V~ 50/60 Hz,,,230 W,,,,1300 N,,,,9.6 m/min,40 m,,30 mm,,,Z16 modulo 4,,1800 Kg,,-20° ÷ +55°C *,120°C autoripristinanti,IP44,16.9 Kg,Uso continuo,40 m,,E781 incorporata,,,,,,,,,18 µF,,,,,,,,,,,,,,,
109926,,,,accessorio,844,,844,220-240V~ 50/60 Hz,,,230 W,,,,1300 N,,,,9.6 m/min,,,30 mm,,,,,1800 Kg,,-20° ÷ +55°C,120°C autoripristinanti,IP44,16.9 Kg,Uso continuo,40 m,,E781 incorporata,,,,,,,,,18 µF,,,,,,,,,,,,,,,
109928,,,,accessorio,844 C 3PH,,Motoriduttore 844 C 3PH,380-415V~ 3 50/60 Hz,,Asincrono trifase,950 W,62 Nm|dati riferiti a 400V ~ 50Hz.,,,2500 N (Z12) - 1900 N (Z16) - 1500 N (Z20)|dati riferiti a 400V ~ 50Hz.,1:30,,,"9,5 m/min (Z16) - 7,2 m/min (Z12) - 12,0 m/min (Z20)",,,,No,Induttivo con lamierino,No,,2.200 Kg (Z12) - 1.600 Kg (Z16) - 1.000 Kg (Z20),,-20°C ÷ +55°C,155°C,IP44,15 Kg,70%,30 m (Z12) - 40 m (Z16) - 50 m (Z20),277 x 155 x 388 mm,Incorporata,,,,No,,,,,,,,,,,,,,,,,,FAAC HP OIL,,
109940,,109940components.tif,,Modello,ROTOR KIT,,ROTOR KIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109950,,,,accessorio,RL200 REVERSIBILE,,Motoriduttore RL200 capacità di sollevamento 170 Kg.,220-240V ~ 50/60Hz,,,,170 Nm (*),,,,,,,,,,,,,,,,,-20°C ÷ + 55°C,,,,,,,Non compresa,,,,,,,,,,,,,,,,,,,,,,,,
109951,,109950.tif,,accessorio,RL200_220/60 EF,,Motoriduttore RL200_220/60 EF per serrande,220-240V ~ 50/60Hz,,,,170 Nm (*),,,,,,,,,,,,,,,,,-20°C ÷ + 55°C,,,,,,,Non compresa,,,,,,,,,,,,,,,,,,,,,,,,
109960,,,,accessorio,,,Motoriduttore RH200B capacità di sollevamento 280 Kg.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109961,,,,accessorio,,,RH200B EF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109971,,,,accessorio,RH240 EF,,Motoriduttore RH240 EF capacità di sollevamento 180 Kg.,220-240V ~ 50/60Hz,,,,210 Nm (*),,,,,,,,,,,,,,,,,-20°C ÷ + 55°C,,,,,,,Non compresa,,,,,,,,,,,,,,,,,,,,,,,,
109981,,,,accessorio,,,Motoriduttore RH240B EF SUPER capacità di sollevamento 360 Kg.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110066,,,,accessorio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110088,,,,accessorio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110549,,110549.tif,,accessorio,550 ITT,,Attuatore elettromeccanico 550 ITT con apparecchiatura elettronica ed encoder incorporati,220-240V~ 50/60 Hz,,Asincrono monofase,350 W,300 Nm|dati riferiti a 230V~ 50Hz.,,,,,,12 °/s|dati riferiti a 230V~ 50Hz.,,,,,,,,,,,-20 °C ÷ +55 °C,140 °C,Solo per uso interno (IP31),"7,5 Kg",S3 - 30%,,670 x 175 x 120 mm,E550 incorporata,,,15 s,Ottico,,,,,,,,,,,,,,,,,,,,
110553,,,,Modello,550 Slave,,,220-240V~ 50/60 Hz,,Asincrono monofase,350 W,300 Nm|dati riferiti a 230V~ 50Hz.,,,,,,12 °/s|dati riferiti a 230V~ 50Hz.,,,,,,,,,,,-20 °C ÷ +55 °C,140 °C,Solo per uso interno (IP31),"7,5 Kg",S3 - 30%,,670 x 175 x 120 mm,Non compresa,,,15 s,Ottico,,,,,,,,,,,,,,,,,,,,
110554,,,9,Accessori,,,Kit per grado di protezione IP44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110558,,,,Modello,550 L Slave,,,220-240V~ 50/60 Hz,,Asincrono monofase,280 W,250 Nm|dati riferiti a 230V~ 50Hz.,,,,,,8 °/s|dati riferiti a 230V~ 50Hz.,,,,,,,,,,,-20 °C ÷ +55 °C,140 °C,Solo per uso interno (IP31),"7,5 Kg",S3 - 30%,,670 x 175 x 120 mm,Non compresa,,,22 s,Ottico,,,,,,,,,,,,,,,,,,,,
110562,,,,Modello,550 L ITT,,,220-240V~ 50/60 Hz,,Asincrono monofase,280 W,250 Nm|dati riferiti a 230V~ 50Hz.,,,,,,8 °/s|dati riferiti a 230V~ 50Hz.,,,,,,,,,,,-20 °C ÷ +55 °C,140 °C,Solo per uso interno (IP31),"7,5 Kg",S3 - 30%,,670 x 175 x 120 mm,E550 incorporata,,,22 s,Ottico,,,,,,,,,,,,,,,,,,,,
110597,,,,accessorio,593,,Attuatore oleodinamico 593,220-240V~ 50/60 Hz,,Asincrono monofase,220 W,400 Nm|dati riferiti a 230V~ 50Hz.,,,,,,9°15'/s|dati riferiti a 230V~ 50Hz.,,,,,,,,,,,-20 °C ÷ +55 °C,120 °C,IP55,10 Kg,50 cicli/ora,,500 x 148 x 93 mm,Non compresa,,,20,,,,,,,,,,,,,,,,,"0,75 lpm|dati riferiti a 230V~ 50Hz.",,FAAC HP OIL,,
110600,,110600.tif,,accessorio,D600,,Attuatore D600 per porte basculanti a traino,220-240V~ 50/60 Hz,,Con spazzole 24V,220 W,,,,600 N,,,,"6,6 m/min",,,,,,,,,,-20 °C ÷ +55 °C,,Solo per uso interno (IP20),"6,2 Kg",Uso continuo,,360 x 200 x 145 mm,E600 incorporata,,,,Elettronico,,,,,,,,,,,,,,,,,,,,
110601,,,,accessorio,D1000,,Attuatore D1000,220-240V~ 50/60 Hz,,Con spazzole 24V,350 W,,,,1000 N,,,,"6,6 m/min",,,,,,,,,,-20 °C ÷ +55 °C,,Solo per uso interno (IP20),"6,4 Kg",Uso continuo,,360 x 200 x 145 mm,E1000 integrata,,,,Elettronico,,,,,,,,,,,,,,,,,,,,
110602,,,,accessorio,D700 HS,,Attuatore D700 HS,220-240V~ 50/60 Hz,,Con spazzole 24V,440 W,,,,700 N,,,,12 m/min,,,,,,,,,,-20 °C ÷ +55 °C,,Solo per uso interno (IP20),"6,3 Kg",Uso continuo,,360 x 200 x 145 mm,E700HS incorporata,,,,Elettronico,,,,,,,,,,,,,,,,,,,,
111100,,,,accessorio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111122,,,,accessorio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111144,,,,accessorio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111188,,,,accessorio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112222,,,,accessorio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112288,,,,accessorio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113300,,,,accessorio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114115,,,,accessorio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120002,,,,accessorio,,,Confezione cover protettive per trasmittenti FDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120003,,,,accessorio,,,Bumper aletta parasole per trasmittenti FDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120009,,DELTA2 kit_PERFECT_120009 .TIF,,Modello,DELTA 2 kit PERFECT 60,,DELTA 2 kit PERFECT 60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120010,,DELTA3 kit_PERFECT_120010 .TIF,,Modello,DELTA 3 kit PERFECT 60,,DELTA 3 kit PERFECT 60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120011,,PRATICO C kit_PERFECT_120011 .tif,,Modello,PRATICO C kit PERFECT 60,,PRATICO C kit PERFECT 60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120012,,RAPID kit_PERFECT_120012 .TIF,,Modello,RAPID kit PERFECT 60,,RAPID kit PERFECT 60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120013,,LEADER kit_PERFECT_120013 .tif,,Modello,LEADER kit PERFECT 60,,LEADER kit PERFECT 60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120014,,ECO kit_PERFECT_120014 .tif,,Modello,ECO kit PERFECT 60,,ECO kit PERFECT 60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120015,,MASTER kit 230V_PERFECT_120015 .tif,,Modello,MASTER kit 230V PERFECT 60,,MASTER kit 230V PERFECT 60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120016,,MASTER kit 24V_PERFECT_120016.tif,,Modello,MASTER kit 24V PERFECT 60,,MASTER kit 24V PERFECT 60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120017,,POWER kit 230V_PERFECT_120017 .TIF,,Modello,POWER 230V kit PERFECT 60,,POWER 230V kit PERFECT 60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120018,,POWER kit 24V_PERFECT_120018 .TIF,,Modello,POWER 24V kit PERFECT 60,,POWER 24V kit PERFECT 60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120019,,HANDY kit_PERFECT_120019.tif,,Modello,HANDY kit PERFECT 60,,HANDY kit PERFECT 60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120020,,HIGH kit_PERFECT_120020 .tif,,Modello,HIGH kit PERFECT 60,,HIGH kit PERFECT 60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124125,,,,accessorio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134135,,,,accessorio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143201,1,143201.tif,,Modello,TM2K KIT MINI 25/17,,Kit automazione tapparelle 25Nm 17rpm,230V~ 50Hz,,,225 W,25 Nm,,,,,,17 giri/min,,,,,,,,,,,,,IP 44,,20%,,45 mm (diametro) x 546 mm (L),,,240 s,,,,,,,,,,,,,,,,,,,,,,
143201i,,,,,Motore Tubolare TM245 (corredato di istruzioni e chiave di regolazione),,Motore Tubolare TM245 (corredato di istruzioni e chiave di regolazione),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143201i2,,,,,Adattatore per tubo ottagonale Ø60mm,,Adattatore per tubo ottagonale Ø60mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143201i3,,,,,Supporto motore,,Supporto motore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143201i4,,,,,Attacchi flessibili in acciaio per attaccare la tapparella al rullo avvolgitore,,Attacchi flessibili in acciaio per attaccare la tapparella al rullo avvolgitore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
